cl_id;length;cpu_time;cpu_util;ram_util;time_on_resource;submission_time;finish_time;vm;
5758;2073600;7500.0;1.0;1.0;7500.0;0.01;7500.01;5758
6114;2073600;7500.0;1.0;1.0;7500.0;0.01;7500.01;6114
2388;2073600;7800.0;1.0;1.0;7800.0;0.01;7800.01;2388
3093;2073600;7800.0;1.0;1.0;7800.0;0.01;7800.01;3093
5612;2073600;7800.0;1.0;1.0;7800.0;0.01;7800.01;5612
5652;2073600;7800.0;1.0;1.0;7800.0;0.01;7800.01;5652
1294;2073600;8100.0;1.0;1.0;8100.0;0.01;8100.01;1294
1846;2073600;8100.0;1.0;1.0;8100.0;0.01;8100.01;1846
2221;2073600;8100.0;1.0;1.0;8100.0;0.01;8100.01;2221
3924;2073600;8100.0;1.0;1.0;8100.0;0.01;8100.01;3924
5132;2073600;8100.0;1.0;1.0;8100.0;0.01;8100.01;5132
5304;2073600;8100.0;1.0;1.0;8100.0;0.01;8100.01;5304
5490;2073600;8100.0;1.0;1.0;8100.0;0.01;8100.01;5490
5840;2073600;8100.0;1.0;1.0;8100.0;0.01;8100.01;5840
6031;2073600;8100.0;1.0;1.0;8100.0;0.01;8100.01;6031
7048;2073600;8100.0;1.0;1.0;8100.0;0.01;8100.01;7048
141;2073600;8400.0;1.0;1.0;8400.0;0.01;8400.01;141
1582;2073600;8400.0;1.0;1.0;8400.0;0.01;8400.01;1582
2029;2073600;8400.0;1.0;1.0;8400.0;0.01;8400.01;2029
2734;2073600;8400.0;1.0;1.0;8400.0;0.01;8400.01;2734
2931;2073600;8400.0;1.0;1.0;8400.0;0.01;8400.01;2931
4262;2073600;8400.0;1.0;1.0;8400.0;0.01;8400.01;4262
4624;2073600;8400.0;1.0;1.0;8400.0;0.01;8400.01;4624
4806;2073600;8400.0;1.0;1.0;8400.0;0.01;8400.01;4806
5762;2073600;8400.0;1.0;1.0;8400.0;0.01;8400.01;5762
7933;2073600;8400.0;1.0;1.0;8400.0;0.01;8400.01;7933
321;2073600;8700.0;1.0;1.0;8700.0;0.01;8700.01;321
718;2073600;8700.0;1.0;1.0;8700.0;0.01;8700.01;718
1006;2073600;8700.0;1.0;1.0;8700.0;0.01;8700.01;1006
1529;2073600;8700.0;1.0;1.0;8700.0;0.01;8700.01;1529
1688;2073600;8700.0;1.0;1.0;8700.0;0.01;8700.01;1688
2743;2073600;8700.0;1.0;1.0;8700.0;0.01;8700.01;2743
3578;2073600;8700.0;1.0;1.0;8700.0;0.01;8700.01;3578
